id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,currentInning,ballTimestamp,matchOver,matchWicket
23020,2,4,0,"Pattinson to Rayudu, no run","length on middle stump, defended off the back foot",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '33141', 'name': 'Ambati Rayudu', 'runs': 5, 'balls': 4}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 5, 'balls': 4}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 1.2, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'id': '277912', 'name': 'Trent Boult', 'overs': 2, 'maidens': 0, 'runs': 11, 'wickets': 1}]","{'id': '226053', 'balls': 20, 'runs': 16, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
23010,1,4,4,"Pattinson to Rayudu, FOUR runs",<b>slapped away!</b> Reflexes look good there for Rayudu. Short and wide and he crunches it in front of square off the back foot,<p>Two slips for Rayudu</p>,,FALSE,FALSE,FALSE,TRUE,"[{'id': '33141', 'name': 'Ambati Rayudu', 'runs': 5, 'balls': 3}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 5, 'balls': 4}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 1.1, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'id': '277912', 'name': 'Trent Boult', 'overs': 2, 'maidens': 0, 'runs': 11, 'wickets': 1}]","{'id': '226053', 'balls': 19, 'runs': 16, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
22060,6,3,4,"Boult to du Plessis, FOUR runs",sweet timing. Length ball wide outside off. Reaches out and just caresses that to mid-off's left,,,FALSE,FALSE,FALSE,TRUE,"[{'id': '44828', 'name': 'Faf du Plessis', 'runs': 5, 'balls': 4}, {'id': '33141', 'name': 'Ambati Rayudu', 'runs': 1, 'balls': 2}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 2, 'maidens': 0, 'runs': 11, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}]","{'id': '226053', 'balls': 18, 'runs': 12, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,"{'maiden': False, 'runs': 6, 'wickets': 0, 'totalRuns': 12, 'totalWicket': 2, 'runRate': 4, 'requiredRunRate': '8.88', 'batsmen': [{'id': '44828', 'name': 'Faf du Plessis', 'runs': 5, 'balls': 4}, {'id': '33141', 'name': 'Ambati Rayudu', 'runs': 1, 'balls': 2}], 'bowlers': [{'id': '277912', 'name': 'Trent Boult', 'overs': 2, 'maidens': 0, 'runs': 11, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}], 'teamShortName': 'CSK', 'remainingOvers': 17, 'remainingBalls': 102, 'remainingRuns': '151'}",
22050,5,3,0,"Boult to du Plessis, no run",<b>big swing inwards.</b> Has Faf cramped. He was shaping to chop that down to third man,,,FALSE,FALSE,FALSE,FALSE,"[{'id': '44828', 'name': 'Faf du Plessis', 'runs': 1, 'balls': 3}, {'id': '33141', 'name': 'Ambati Rayudu', 'runs': 1, 'balls': 2}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 1.5, 'maidens': 0, 'runs': 7, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}]","{'id': '226053', 'balls': 17, 'runs': 8, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
22040,4,3,1,"Boult to Rayudu, 1 run","short of a length outside off, uses the angle to stab that to third man",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '33141', 'name': 'Ambati Rayudu', 'runs': 1, 'balls': 2}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 1, 'balls': 2}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 1.4, 'maidens': 0, 'runs': 7, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}]","{'id': '226053', 'balls': 16, 'runs': 8, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
22030,3,3,0,"Boult to Rayudu, no run","good length, on the pads, and he's caught on the pads trying to flick that",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '33141', 'name': 'Ambati Rayudu', 'runs': 0, 'balls': 1}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 1, 'balls': 2}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 1.3, 'maidens': 0, 'runs': 6, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}]","{'id': '226053', 'balls': 15, 'runs': 7, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
22020,2,3,1,"Boult to du Plessis, 1 run",length and a bit of shape in. Gets on the front foot and gets it off the thick outside edge to third man,,,FALSE,FALSE,FALSE,FALSE,"[{'id': '44828', 'name': 'Faf du Plessis', 'runs': 1, 'balls': 2}, {'id': '33141', 'name': 'Ambati Rayudu', 'runs': 0, 'balls': 0}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 1.2, 'maidens': 0, 'runs': 6, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}]","{'id': '226053', 'balls': 14, 'runs': 7, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
22010,1,3,0,"Boult to du Plessis, no run","short of a length and wide outside off, left aloe","<p>Abhinav Dhar: ""Murali Vijay just didn't know anything about that over at all.""</p>","<p>Siddhesh: ""Imagine the absolute scenes if that 1st decision came back as out and 2nd one as not out!""</p>",FALSE,FALSE,FALSE,FALSE,"[{'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 1}, {'id': '33141', 'name': 'Ambati Rayudu', 'runs': 0, 'balls': 0}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 1.1, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}]","{'id': '226053', 'balls': 13, 'runs': 6, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
21070,6,2,0,"Pattinson to Vijay, OUT","<b>has him this time!</b> But is that going down? It could well be...looks very good actually for a batsman's review. He doesn't take it. He's off and Faf has to actually catch him halfway back to try and talk to him about it. A full ball pitching middle, cutting in off the seam. He's beaten on the flick but there was a big deviation. Vijay was completely out of sorts - as he looked on the field too - and I wonder if that has affected his judgement. <b>Replays suggest it was missing.</b> He walked right off.",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 7}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 12, 'runs': 6, 'wickets': 2, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,"{'maiden': False, 'runs': 1, 'wickets': 1, 'totalRuns': 6, 'totalWicket': 2, 'runRate': 3, 'requiredRunRate': '8.72', 'batsmen': [{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 7}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}], 'bowlers': [{'id': '272465', 'name': 'James Pattinson', 'overs': 1, 'maidens': 0, 'runs': 1, 'wickets': 1}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}], 'teamShortName': 'CSK', 'remainingOvers': 18, 'remainingBalls': 108, 'remainingRuns': '157'}","{'id': '237095', 'batsmanName': 'Murali Vijay', 'bowlerName': 'James Pattinson', 'batsmanRuns': 1, 'batsmanBalls': 7, 'text': 'M Vijay lbw b Pattinson 1 (7b 0x4 0x6) SR: 14.28'}"
21060,5,2,0,"Pattinson to Vijay, no run","length and in at the body, hurriedly poked into the leg side",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 6}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 0.5, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 11, 'runs': 6, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
